t,x,y,z,vx,vy,vz,speed
0.00000000,0.06954390,1.21909921,0.88554089,0.28969120,8.72228422,3.73310025,9.49200719
0.01666670,0.07700782,1.34258938,0.93511830,0.31175107,8.14910921,3.75874879,8.97960813
0.03333340,0.08434084,1.49011345,0.99465291,0.33381094,7.57593420,3.78439734,8.47513257
0.05000010,0.09116821,1.61596774,1.05933372,0.35587081,7.00275919,3.81004589,7.98008333
0.06666680,0.09764496,1.73513531,1.12859139,0.37793068,6.42958418,3.83569444,7.49632818
0.08333350,0.10214794,1.83080103,1.19377118,0.39999054,5.85640917,3.86134298,7.02620029
0.10000020,0.10747695,1.91317074,1.26147396,0.45091157,5.37586260,3.87553252,6.64251250
0.11666690,0.11197135,1.98751827,1.32723375,0.53374395,4.90592189,3.82501168,6.24369014
0.13333360,0.11781350,2.06372355,1.39133880,0.62476399,4.52487479,3.72983281,5.89715819
0.15000030,0.12842412,2.13411520,1.45374670,0.71388105,4.19578472,3.59586960,5.57176038
0.16666700,0.14470310,2.20483951,1.51471870,0.79012324,3.91857792,3.45035114,5.28057484
0.18333370,0.16166693,2.26829487,1.57165783,0.84441557,3.64958347,3.28208450,4.98041925
0.20000040,0.18283569,2.33383462,1.62566115,0.86951232,3.36659958,3.11670674,4.66946521
0.21666710,0.19820380,2.38764917,1.67595353,0.86417895,3.06155502,2.96430319,4.34822007
0.23333380,0.21208578,2.43518211,1.72037573,0.83480865,2.76214857,2.82633045,4.03912293
0.25000050,0.22377640,2.47504781,1.76523800,0.80323836,2.47740223,2.70923094,3.75801090
0.26666720,0.23555082,2.51124265,1.80601056,0.77743696,2.22422014,2.60327997,3.51121490
0.28333390,0.24513151,2.54335784,1.84827436,0.76548818,2.00171236,2.48634872,3.28249212
0.30000060,0.25611140,2.57208930,1.89147991,0.77538525,1.83307839,2.35323200,3.08206093
0.31666730,0.26911527,2.59962448,1.93269439,0.79664312,1.70466752,2.20822741,2.90117216
0.33333400,0.28583623,2.62771007,1.97372956,0.81582522,1.59962070,2.03547662,2.71431801
0.35000070,0.29989914,2.65313345,2.00864754,0.82275420,1.50305282,1.84794903,2.52012061
